Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
718,"Aug 07, 2024","Sep 23, 2024","Dec 31, 2024",Current,"112 St Closed, Alley S/O Jasper Ave - 35m South",112 Street NW,Jasper Avenue,100 Avenue NW,Total Closure,3 Months,112 St closed from the alley south of Jasper Ave to approx. 35m south of the alley. Local access will be maintained from Jasper Ave to the alley south of Jasper Ave and from 100 Ave to the south side of the closure. The east sidewalk will be closed.,Drainage Repair,Construction,Central,Road and Sidewalk,POINT (-113.513935672637 53.540939540533)
1105,"Nov 12, 2024","Nov 16, 2024","Nov 16, 2024",Current,Kingsway Closure,Kingsway NW,119 Street NW,111 Avenue NW,Total Closure,3 Hours (4pm - 7pm),"Total closure of Kingsway from 119 St - 111 Av on Saturday, Nov 16th from 4pm - 7pm to accommodate the Kingsway Holiday Parade.",Special Event,Special Event,Central,Road,POINT (-113.503941536649 53.558912374402)
1065,"Oct 31, 2024","Nov 14, 2024","Nov 14, 2024",Current,96 ST & 78 AV Total Closure,96 Street NW,77 Avenue NW,79 Avenue NW,Total Closure,One day,96 ST between alley south of 78 AV and alley north of 78 AV closed to vehicle traffic between 09:00-15:30hrs. Detour using other routes.,Drainage repairs,Construction,Central,Road,POINT (-113.476744165133 53.513254594952)
1093,"Nov 06, 2024","Nov 21, 2024","Nov 21, 2024",Current,54 St North of 146 AV - Total Closure,54 Street NW,146 Avenue NW,,Total Closure,1 Day (6.5 Hours),"54 Street will be Totally Closed North of 146 Avenue for a Drainage Repair from 9am to 3:30pm Thursday, November 21st. Use 52 Street and 147 Avenue to access 54 Street North of 146 Avenue.",Drainage Repair,Construction,,Road,POINT (-113.422188740563 53.608961141123)
1090,"Nov 13, 2024","Nov 26, 2024","Nov 29, 2024",Current,99 ST & 63 AV Lane Closures,99 Street NW,65 Avenue NW,62 Avenue NW,Increased Travel Time,Three evenings/nights,Intersection of 99 ST & 63 AV will be reduced to a single lane all directions between 20:00hrs - 06:00hrs. No left hand turns all directions at the intersection between 20:00hrs - 06:00hrs.,Power Repair/Replace,Construction,Central,Road,POINT (-113.48622851997 53.501838206271)
1090,"Nov 13, 2024","Nov 26, 2024","Nov 29, 2024",Current,99 ST & 63 AV Lane Closures,99 Street NW,65 Avenue NW,62 Avenue NW,Increased Travel Time,Three evenings/nights,Intersection of 99 ST & 63 AV will be reduced to a single lane all directions between 20:00hrs - 06:00hrs. No left hand turns all directions at the intersection between 20:00hrs - 06:00hrs.,Power Repair/Replace,Construction,Central,Road,POINT (-113.486176062488 53.498355197675)
704,"Jul 31, 2024","Aug 13, 2024","Nov 15, 2024",Revised,149 St Lane Reductions,149 Street NW,Summit Drive NW,102 Avenue NW,Travel Delays,2.5 months,"149 St, Summit Dr - 102 Av will be reduced to a single lane in each direction. All turning movements will be maintained at Stony Plain Road. For more information visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.577942674606 53.541231577464)
13,"May 10, 2023","Aug 14, 2023","Nov 30, 2024",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.510218608268 53.546228613815)
1044,"Oct 24, 2024","Nov 04, 2024","Nov 21, 2024",Current,102A Ave Lane Reduction,102A Avenue NW,97 Street NW,99 Street NW,Increased Travel Time,2.5 Weeks,"102A Ave from 97 St to west of 97 St lane reduction, two way traffic maintainained. South SUP closed, pedestrians and cyclists must detour using the north sidewalk.",Crane Lift,Construction,Central,Road and Sidewalk,POINT (-113.486715526373 53.544898453109)
1085,"Nov 05, 2024","Nov 23, 2024","Nov 23, 2024",Current,96 ST Total Closure,96 Street NW,81 Avenue NW,79 Avenue NW,Total Closure,One Day,Intersection of 96 ST & 80 AV will be closed to vehicle traffic between 09:00-15:30hrs. Local access will be maintained. Detour using other routes.,Drainage Repair,Construction,Central,Road,POINT (-113.476702262834 53.517043615291)
1032,"Oct 21, 2024","Nov 21, 2024","Dec 05, 2024",Revised,Eastbound 118 Ave Closed at 97 St,118 Avenue NW,101 Street NW,97 Street NW,Directional Closure,Two Weeks,"Eastbound 118 Avenue closed at 97 Street, left and right turns maintained. Westbound 118 Ave through 97 Street reduced to one outside lane. This is Phase 4 of 4 from earlier works in the 97 St/118 Ave Intersection.",Utility Repair,Construction,Central,Road,POINT (-113.493979671598 53.570123573197)
1079,"Nov 04, 2024","Nov 25, 2024","Nov 25, 2024",Current,96 ST Flagsperson Control,96 Street NW,78 Avenue NW,80 Avenue NW,Increased Travel Time,One Day,Road segment will be reduced to a single lane with northbound and southbound traffic maintained under flagsperson control between 09:00-15:30hrs.,Drainage Repairs,Construction,Central,Road,POINT (-113.476751790464 53.514203426335)
1101,"Nov 08, 2024","Nov 21, 2024","Dec 05, 2024",Revised,SB 97 St to EB 118 Ave Left Turn Ban,97 Street NW,118 Avenue NW,,Travel Delays,Two Weeks,SB 97 Street to EB 118 Ave left turn will be banned. This is in addition to current Southbound 97 St lane closures reducing it to a single outside lane through 118 Ave. This is Phase 4 of 4 from earlier works in the 97 St/118 Ave Intersection.,Utility Repair,Construction,Central,Road,POINT (-113.49203430164 53.570389682373)
783,"Aug 21, 2024","Sep 24, 2024","Dec 20, 2024",Current,98 AV Split,98 Avenue NW,91 Street NW,93 Street NW,Increased Travel Time,Three Months,Road segment will be reduced to a single lane in each direction and split to the south.,Drainage Install,Construction,Central,Road,POINT (-113.466949342703 53.538248840842)
1106,"Jul 23, 2024","Nov 12, 2024","Nov 26, 2024",Current,Reduced to Single Lane Southbound,101 Street NW,108 Avenue NW,Kingsway Avenue NW,Increased Travel Time,2 Weeks,"101 St SBD, 108 Ave - Kings way Ave reduced to single lane. North xwalk at 101 St - 108 Ave closed, pedestrian detour using 108A Ave and 107A Ave.",Power Repair,Construction,Central,Road and Sidewalk,POINT (-113.493717202435 53.553077192241)
1033,"Oct 21, 2024","Nov 21, 2024","Dec 05, 2024",Revised,101 St/118 Ave Roundabout Delays,118 Avenue NW,101 Street NW,102 Street NW,Travel Delays,Two Weeks,Single outside lane closure around the 118 Ave/101 St/Princess Elizabeth Ave roundabout. This is phase 4 of 4 from earlier works in the 97 St/118 Ave Intersection.,Utility Repair,Construction,Central,Road,POINT (-113.493979671598 53.570123573197)
882,"Sep 11, 2024","Sep 12, 2024","Nov 22, 2024",Revised,NB 105 St to EB 107 Ave: Right Turn Banned,105 Street NW,107 Avenue NW,,Travel Delays,3.5 Months,Northbound 105 St right turn to eastbound 107 Ave banned. East and south crosswalks closed at 107 Ave/105 St intersection. 105 St east sidewalk closed south of 107 Ave and 107 Ave south sidewalk closed east of 105 St.,107 Avenue Park,Construction,Central,Road and Sidewalk,POINT (-113.500907371737 53.551411116963)
244,"Apr 16, 2024","Apr 29, 2024","Aug 31, 2025",Current,48 Ave Closure,48 Avenue NW,122 Street NW,,Total Closure,Long term closure,Starts April 29th. 48ave east of 122st will be closed due to road construction. Access to Michener park limited to Macewan Dr.,Road Construction,Construction,Southwest,Road,POINT (-113.541147549623 53.485639919017)
11,"Apr 24, 2023","Apr 24, 2023","Nov 30, 2024",Revised,Single Lane Closures,34 Street NW,Whitemud Drive NW,64 Avenue NW,Travel Delays,19 Months,Roper Rd NW Closure btw 36 Street NW and 34 Street NW. Follow detour signs. Occasional two way flagging operations expected during off-peak hours only. All speed reduced accordingly. Expect travel delays. **Extended Nov 30**,Road Construction,Construction,Southeast,Road,POINT (-113.393805182054 53.487183990186)
1120,"Nov 18, 2024","Nov 20, 2024","Nov 20, 2024",Current,EB 102 Ave - Right lane closed,102 Avenue NW,Clifton Place,125 Street NW,Travel Delays,1 Day (9am - 3:30pm),Eastbound 102 Ave right lane closed from Clifton Place to 124 St. Left turns from eastbound 102 Ave to northbound 125 St will be banned for the duration of the lane closure.,Tree Removal,Construction,Central,Road,POINT (-113.539265832787 53.543009894482)
1109,"Nov 14, 2024","Nov 14, 2024","Nov 14, 2024",Current,Traffic Incident,WHITEMUD DRIVE NW,53 AVENUE NW,,Traffic Incident Delays,Unknown,Traffic Incident Whitemud Drive eastbound.,Traffic Incident,Traffic Incident,Southwest,Road,POINT (-113.572012146457 53.490407577573)
1031,"Oct 21, 2024","Oct 28, 2024","Dec 05, 2024",Revised,101 St/118 Ave Lane Closure,118 Avenue NW,101 Street NW,97 Street NW,Travel Delays,Six Weeks,Northbound outside curb lane of 101 Street and Eastbound outside curb lane of 118 Avenue closed up to 97 Street. This is phase 3 of 4 from earlier works in the 97 St/118 Ave Intersection,Utility Repair,Construction,Central,Road,POINT (-113.493979671598 53.570123573197)
929,"Sep 23, 2024","Sep 24, 2024","Dec 21, 2024",Current,"WB 100 Ave Closed, 107 St - 108 St",100 Avenue,107 Street NW,108 Street NW,Directional Closure,3 Months,"Westbound 100 Ave, as well as the 100 Ave bike facility and north sidewalk, will be closed between 107 St and 108 St. Cylist and pedestrian access will be maintained via an on-street detour within the closure.",Power Line Installation,Construction,Central,Road and Sidewalk,POINT (-113.504760411346 53.53883895392)
817,"Aug 29, 2024","Aug 29, 2024","Nov 15, 2024",Current,Reduced to one lane westbound,23 Avenue,109 Street,111 Street,Increased Travel Time,79 Days,23 Avenue westbound is reduced one lane at 111 Street.  Left turns maintained westbound to southbound.,Utility work,Construction,Southwest,Road,POINT (-113.509004522862 53.453915379828)
988,"Oct 08, 2024","Oct 21, 2024","Nov 11, 2024",Current,River Valley Rd delays at Victoria Golf Course,River Valley Road,Groat Road,Fortway Drive,Travel Delays,3 Weeks,Delays westbound River Valley Rd due to flag control of access into/out of Victoria Golf Course at intersection. Eastbound left turn from River Valley Rd to Victoria Golf Course banned. Exit from Victoria Golf Course directed to westbound River Valley Rd.,Power Installation,Construction,Central,Road,POINT (-113.513217598087 53.531970464284)
988,"Oct 08, 2024","Oct 21, 2024","Nov 11, 2024",Current,River Valley Rd delays at Victoria Golf Course,River Valley Road,Groat Road,Fortway Drive,Travel Delays,3 Weeks,Delays westbound River Valley Rd due to flag control of access into/out of Victoria Golf Course at intersection. Eastbound left turn from River Valley Rd to Victoria Golf Course banned. Exit from Victoria Golf Course directed to westbound River Valley Rd.,Power Installation,Construction,Central,Road,POINT (-113.536864400138 53.537985239537)
1068,"Oct 31, 2024","Nov 04, 2024","Nov 30, 2024",Current,105 AV Total Closure,76 Street NW,105 Avenue NW,106 Avenue NW,Total Closure,Four+ Weeks,Road segment closed to vehicle traffic. Detour using other routes.,Watermain Install,Construction,Central,Road,POINT (-113.444567682667 53.547940471501)
1067,"Oct 31, 2024","Nov 04, 2024","Nov 30, 2024",Current,105 AV Total Closure,105 Avenue NW,76 Street NW,77 Street NW,Total Closure,Four+ Weeks,Road segment closed to vehicle traffic. Detour using other routes.,Watermain Install,Construction,Central,Road,POINT (-113.444567682667 53.547940471501)
817,"Aug 29, 2024","Aug 29, 2024","Nov 15, 2024",Current,Reduced to one lane westbound,23 Avenue,109 Street,111 Street,Increased Travel Time,79 Days,23 Avenue westbound is reduced one lane at 111 Street.  Left turns maintained westbound to southbound.,Utility work,Construction,Southwest,Road,POINT (-113.516382345588 53.453913402392)
36,"Dec 11, 2023","Dec 09, 2023","Nov 15, 2024",Current,Right curb lane closure northbound,111 Street,23 Avenue,25 Avenue,Increased Travel Time,343 Days,Ongoing utility work.  Right curb lane closure northbound north of 23 Avenue.  Pedestrian detour on northeast corner.,LRT Expansion Utility Work,Construction,Southwest,Road and Sidewalk,POINT (-113.516382345588 53.453913402392)
1116,"Nov 15, 2024","Nov 20, 2024","Nov 24, 2024",Current,Westbound Yellowhead Trail Nightly lane Closures,Yellowhead Trail NW,St. Albert Trail NW,142 Street NW,Travel Delays,4 Nights(10pm - 6am),Westbound Yellowhead Tr. from St. Albert Tr. - 142 St will be reduced to a single lane nightly to complete drainage inspections. Weekdays: 10pm - 6am. Weekends: 10pm - 8am. Please use other routes.,Drainage Inspections,Construction,Northwest,Road,POINT (-113.565642987831 53.581083828187)
696,"Jul 31, 2024","Aug 06, 2024","Nov 20, 2024",Current,156 St Traffic Split,156 Street NW,145 Avenue NW,Mark Messier Trail NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am 156 St, 145 Ave - Mark Messier Tr. will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to westbound St. Albert Tr will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.591242429239 53.610987151836)
864,"Sep 06, 2024","Sep 13, 2024","Sep 30, 2026",Revised,Road Closure,82 Avenue NW,56 Street NW,50 Street NW,Total Closure,Two Years,82 Avenue will be closed at West of 50 street.,Construction,Construction,Southeast,Road,POINT (-113.422817900746 53.518040164875)
1086,"Nov 05, 2024","Nov 08, 2024","Nov 11, 2024",Current,Groat Road Reduced to 1 Lane NB,Groat Road NW,116 Avenue NW,117 Avenue NW,Travel Delays,4 Days,Groat Rd will be reduced to 1 lane NB 117 Av. 117 Av will be closed. Stay left or use other routes.,Drainage Repairs,Construction,Northwest,Road,POINT (-113.549509334481 53.567009296161)
697,"Jul 31, 2024","Aug 06, 2024","Nov 30, 2024",Current,Campbell Road Traffic Split,Campbell Road NW,Mark Messier Trail NW,Anthony Henday Drive NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am Campbell Rd, Mark Messier Tr. - 500m north of MMT will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to EB MMT will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.576559528379 53.629200764091)
1111,"Nov 14, 2024","Nov 15, 2024","Nov 15, 2024",Current,,81 Avenue NW,Calgary Trail NW,105 Street NW,Total Closure,07:00-18:00,81 Avenue between 105 Street and the alley West of Calgary Trail will be totally closed for construction.,Construction,Construction,Central,Road and Sidewalk,POINT (-113.50046426912 53.517080484518)
697,"Jul 31, 2024","Aug 06, 2024","Nov 30, 2024",Current,Campbell Road Traffic Split,Campbell Road NW,Mark Messier Trail NW,Anthony Henday Drive NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am Campbell Rd, Mark Messier Tr. - 500m north of MMT will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to EB MMT will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.591124679225 53.611637974461)
1069,"Oct 31, 2024","Oct 31, 2024","Dec 01, 2024",Current,75 Street alternate access,75 Street SW,Ellerslie Road SW,,Increased Travel Time,1 month,75 St SW will have alternate access due to 75 Street north of Ellerslie Road being closed. Alternate access will be through an alternate access approximately 50m to the east. No access from Ellerslie eastbound through new access.,Utilities install,Construction,Southeast,Road,POINT (-113.45088045291 53.424906320595)
696,"Jul 31, 2024","Aug 06, 2024","Nov 20, 2024",Current,156 St Traffic Split,156 Street NW,145 Avenue NW,Mark Messier Trail NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am 156 St, 145 Ave - Mark Messier Tr. will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to westbound St. Albert Tr will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.59033536346 53.605785618629)
1070,"Oct 31, 2024","Nov 12, 2024","Nov 19, 2024",Current,"107 St Closed, Jasper Ave - Alley N/O Jasper Ave",107 Street NW,Jasper Avenue,102 Avenue NW,Total Closure,1 Week,107 St closed from Jasper Ave to the alley north of Jasper Ave. Access to and from the alleys east and west of 107 St north of Jasper Ave will be closed.107 St from the alley north of Jasper Ave to south of 102 Ave remains permanently closed.,Waterline Installation,Construction,Central,Road,POINT (-113.504764156347 53.540931080363)
1096,"Nov 06, 2024","Nov 08, 2024","Nov 08, 2024",Current,High Level Bridge / 109 St - East Side Closed,109 Street NW,97 Avenue NW,88 Avenue NW,Travel Delays,1 Day (9am - 3pm),"East access of High Level Bridge closed and east lane of 109 St closed, 97 Ave - 88 Ave/Sask Dr. Acces to High Level Bridge maintained on the west side.",Bore Hole Monitoring,Construction,Central,Road,POINT (-113.51206944227 53.523851326194)
891,"Sep 13, 2024","Oct 10, 2024","Oct 20, 2024",Revised,163 St Reduced to 1 Lane Each Way,163 Street NW,96A Avenue NW,96 Avenue NW,Travel Delays,11 Days,163 St will be reduced to 1 lane in each direction. Use other routes.,Sewer Install,Construction,Northwest,Road,POINT (-113.602838373143 53.533919697156)
678,"Jul 29, 2024","Jul 29, 2024","Dec 13, 2024",Current,Reduced to single lane,103A Street SW,Ellerslie Road SW,30 Avenue SW,Major Delays,,"103A St SW, from Ellerslie Rd to 30 Ave SW will be split to the west, reduced to a single lane each direction. Extended to December 13",Water Repair,Construction,Southwest,Road,POINT (-113.503278999264 53.412300876621)
1112,"Nov 14, 2024","Nov 18, 2024","Nov 18, 2024",Current,Total closure with two way conversion,85 Avenue NW,111 Street NW,110 Street NW,Travel Delays,1 Day,85 Ave will be closed between 111 St and 50 Metres East of 111 St. The road will be closed to Cyclists and traffic. Pedestrians will be detoured to the adjacent sidewalk,Waterline work,Construction,Central,Road and Sidewalk,POINT (-113.517811884874 53.520999457247)
10,"Apr 24, 2023","May 01, 2023","Feb 28, 2025",Current,106 St Lane Closure,106 Street NW,34 Avenue NW,35 Avenue NW,Travel Delays,Long Term Project,"Starts Mon, May 1st at 9am. 106 St NB, 34 Av - 35 Av will be reduced to a single lane. The 34 Av WB to 106 St NB Right turn bay will be closed. The North East corner will be closed to pedestrians with detours and temporary crosswalks installed.",Drainiage Shaft,Construction,Southwest,Road and Sidewalk,POINT (-113.504078367552 53.467664733038)
1113,"Nov 14, 2024","Nov 18, 2024","Nov 22, 2024",Current,short duration total stoppage of 109 St at 76 Ave,109 Street NW,76 Avenue NW,75 Avenue NW,Travel Delays,4 Nights; Midnight till 06:00,"109 St at 76 Ave will be totally stopped, under police control, for less than 15 minutes. The short closures will be staged throughout the night while Epcor services powerlines.",Power line maintenance,Construction,Central,Road,POINT (-113.512037480012 53.512262334026)
1117,"Nov 15, 2024","Nov 15, 2024","Nov 18, 2024",Current,#1 Single Lane Closure Westbound,Ellerslie Road SW,103A Street SW,109 Street SW,Major Delays,4 Days,Ellerslie Rd westbound from 103A St to 109 St will be reduced down to one lane due to an emergency water valve repair. Lane closure to go through peak hours. Expect Major Delays.,Emergency Waterline Repair,Construction,Southwest,Road,POINT (-113.509026373393 53.424817834293)
15,"Jun 06, 2023","Jan 01, 2023","Dec 31, 2024",Revised,Hoarding,97 Street NW,102 Avenue NW,102A Avenue NW,Increased Travel Time,,"West sidewalk and curb lane along 97 St SBD, 102 Ave - 102A Ave closed due to Winspear Center Expansion project.Pedestrians must detour using the east sidewalk. 97 St SBD reduced to single lane.",Winspear Center Project,Construction,Central,Road and Sidewalk,POINT (-113.486191223974 53.544007341707)
1096,"Nov 06, 2024","Nov 08, 2024","Nov 08, 2024",Current,High Level Bridge / 109 St - East Side Closed,109 Street NW,97 Avenue NW,88 Avenue NW,Travel Delays,1 Day (9am - 3pm),"East access of High Level Bridge closed and east lane of 109 St closed, 97 Ave - 88 Ave/Sask Dr. Acces to High Level Bridge maintained on the west side.",Bore Hole Monitoring,Construction,Central,Road,POINT (-113.508530035698 53.534180477197)
117,"Feb 08, 2024","Feb 12, 2024","Mar 31, 2025",Current,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,414 Days,Traffic is split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.,Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.541167483624 53.483071866876)
117,"Feb 08, 2024","Feb 12, 2024","Mar 31, 2025",Current,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,414 Days,Traffic is split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.,Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.572012146457 53.490407577573)
224,"Apr 09, 2024","Jan 15, 2024","May 31, 2025",Revised,99 Av Closed from 146 St - 145 St,99 Avenue NW,146 Street NW,145 Street NW,Total Closure,1 Year & 20 Weeks,99 Av is closed from 146 St to 145 St. Use other routes.,Drainage Shaft Install,Construction,Northwest,Road,POINT (-113.572779102195 53.537665627138)
678,"Jul 29, 2024","Jul 29, 2024","Dec 13, 2024",Current,Reduced to single lane,103A Street SW,Ellerslie Road SW,30 Avenue SW,Major Delays,,"103A St SW, from Ellerslie Rd to 30 Ave SW will be split to the west, reduced to a single lane each direction. Extended to December 13",Water Repair,Construction,Southwest,Road,POINT (-113.496050930407 53.424813689612)
864,"Sep 06, 2024","Sep 13, 2024","Sep 30, 2026",Revised,Road Closure,82 Avenue NW,56 Street NW,50 Street NW,Total Closure,Two Years,82 Avenue will be closed at West of 50 street.,Construction,Construction,Southeast,Road,POINT (-113.417936760803 53.518036861062)
305,"Apr 29, 2024","Apr 29, 2024","Nov 15, 2024",Current,128 St Closure,128 Street NW,Stony Plain Road NW,106 Avenue NW,Total Closure,6 Months,128 St is closed on the north side of Stony Plain Road. Local acess Maintained from 106 Av. For more information please visit: https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.542865828365 53.547766436427)
